sector,okved2,year,AIcosts_s
Применение информационных и коммуникационных технологий по видам  экономической деятельности,114.АГ,2024,90304.6767
"Деятельность в области культуры, спорта, отдыха и развлечений",135.АГ,2024,202.2998
Собирательная классификационная группировка видов экономической деятельности в области деятельности творческих (креативных) индустрий на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред. 2),13210000.029.02,2024,3570.3494
"Собирательная классификационная группировка видов экономической деятельности в области лазерных, оптических и оптоэлектронных технологий (фотоники) на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД 2) ОК 029-2014 (КДЕС Ред.2)",1323500.029.36,2024,
Сектор информационно-коммуникационных технологий,1324500.029.01,2024,11463.3601
Сектор контента и средств массовой информации,1324500.029.02,2024,34.973099999999995
Отрасль информационных технологий,1324500.029.11,2024,8943.7278
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2024,5.2665
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2024,150.9366
Виды экономической деятельности в области производства товаров и оказания услуг для детей,1323500.029.35,2024,70.5837
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2024,214.8929
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024,123.303
Выращивание однолетних культур,01.1,2024,62.915
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024,9.149
Выращивание зерновых культур,01.11.1,2024,7.4714
Выращивание пшеницы,01.11.11,2024,
Выращивание зернобобовых культур,01.11.2,2024,
Выращивание семян масличных культур,01.11.3,2024,0.8296
Выращивание семян подсолнечника,01.11.31,2024,
Выращивание риса,01.12,2024,
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024,53.766
Выращивание овощей,01.13.1,2024,15.405
Выращивание овощей открытого грунта,01.13.11,2024,
Выращивание овощей защищенного грунта,01.13.12,2024,
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024,
Выращивание картофеля,01.13.31,2024,
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2024,
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2024,36.473
Выращивание сахарной свеклы,01.13.51,2024,
Выращивание грибов и трюфелей,01.13.6,2024,
"Выращивание овощей, не включенных в другие группировки",01.13.9,2024,
Выращивание волокнистых прядильных культур,01.16,2024,
Выращивание прочих однолетних культур,01.19,2024,
Выращивание однолетних кормовых культур,01.19.1,2024,
Цветоводство,01.19.2,2024,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2024,
Выращивание многолетних культур,01.2,2024,27.8837
Выращивание винограда,01.21,2024,27.8837
Выращивание семечковых и косточковых культур,01.24,2024,
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2024,
Выращивание прочих плодовых и ягодных культур,01.25.1,2024,
Выращивание плодов масличных культур,01.26,2024,
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2024,
Выращивание хмеля,01.28.2,2024,
Выращивание прочих многолетних культур,01.29,2024,
Выращивание рассады,01.30,2024,
Животноводство,01.4,2024,31.867
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2024,17.9559
Разведение молочного крупного рогатого скота,01.41.1,2024,9.9247
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2024,0.334
Разведение племенного молочного крупного рогатого скота,01.41.12,2024,
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2024,8.0312
Производство сырого коровьего молока,01.41.21,2024,8.0052
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2024,
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2024,
