sector,okved2,year,researchers_s
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2018,402.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2019,360.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2020,520.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2021,469.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2022,434.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2023,301.0
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",01,2024,420.0
Выращивание однолетних культур,01.1,2024,71.0
"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.11,2024,
Выращивание зерновых культур,01.11.1,2024,
"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",01.13,2024,
Выращивание овощей,01.13.1,2024,
Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,01.13.3,2024,
Животноводство,01.4,2024,
Разведение свиней,01.46,2024,
Разведение сельскохозяйственной птицы,01.47,2024,
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024,
Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции,01.6,2024,190.0
Предоставление услуг в области растениеводства,01.61,2024,145.0
Деятельность сельскохозяйственная после сбора урожая,01.63,2024,
Лесоводство и лесозаготовки,02,2018,
Лесоводство и лесозаготовки,02,2019,
Лесоводство и лесозаготовки,02,2024,
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2024,
Предоставление услуг в области лесоводства,02.40.1,2024,
Рыболовство и рыбоводство,03,2022,
Добыча сырой нефти и природного газа,06,2018,
Добыча нефти и природного газа,06,2019,
Добыча нефти и природного газа,06,2020,432.0
Добыча прочих полезных ископаемых,08,2023,
Добыча прочих полезных ископаемых,08,2024,
"Добыча полезных ископаемых, не включенных в другие группировки",08.9,2024,
"Добыча прочих полезных ископаемых, не включенных в другие группировки",08.99,2024,
"Добыча драгоценных камней, кварца, слюды, мусковита и т. д.",08.99.3,2024,
Добыча алмазов,08.99.32,2024,
Предоставление услуг в области добычи полезных ископаемых,09,2018,
Предоставление услуг в области добычи полезных ископаемых,09,2019,39.0
Предоставление услуг в области добычи полезных ископаемых,09,2020,36.0
Предоставление услуг в области добычи полезных ископаемых,09,2021,116.0
Предоставление услуг в области добычи полезных ископаемых,09,2022,74.0
Предоставление услуг в области добычи полезных ископаемых,09,2023,100.0
Предоставление услуг в области добычи полезных ископаемых,09,2024,75.0
Предоставление услуг в области добычи нефти и природного газа,09.10,2024,75.0
"Предоставление услуг по бурению, связанному с добычей нефти, газа и газового конденсата",09.10.1,2024,
Предоставление прочих услуг в области добычи нефти и природного газа,09.10.9,2024,
"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",1,2017,685.0
Производство пищевых продуктов,10,2017,187.0
Производство пищевых продуктов,10,2018,79.0
Производство пищевых продуктов,10,2019,201.0
Производство пищевых продуктов,10,2020,194.0
Производство пищевых продуктов,10,2021,226.0
Производство пищевых продуктов,10,2022,279.0
Производство пищевых продуктов,10,2023,186.0
Производство пищевых продуктов,10,2024,281.0
Производство молочной продукции,10.5,2024,
Производство молока (кроме сырого) и молочной продукции,10.51,2024,
Производство прочей молочной продукции,10.51.9,2024,
Производство прочих пищевых продуктов,10.8,2024,226.0
"Производство прочих пищевых продуктов, не включенных в другие группировки",10.89,2024,226.0
"Производство растительных соков и экстрактов, пептических веществ, растительных клеев и загустителей",10.89.3,2024,
Производство пищевых ферментов,10.89.4,2024,
Производство биологически активных добавок к пище,10.89.8,2020,49.0
Производство биологически активных добавок к пище,10.89.8,2021,53.0
Производство биологически активных добавок к пище,10.89.8,2022,
Производство биологически активных добавок к пище,10.89.8,2023,
Производство биологически активных добавок к пище,10.89.8,2024,
"Производство прочих продуктов питания, не включенных в другие группировки",10.89.9,2024,6.0
Производство готовых кормов для животных,10.9,2024,
"Производство готовых кормов для животных, содержащихся на фермах",10.91,2024,
