region,okato,year,AIcosts_r
Центральный федеральный округ,030,2024,74609.49
Северо-Западный федеральный округ,031,2024,9050.131
Приволжский федеральный округ,033,2024,3019.8884
Уральский федеральный округ,034,2024,1329.3003
Северо-Кавказский федеральный округ,038,2024,143.7847
Южный федеральный округ,040,2024,555.115
Сибирский федеральный округ,041,2024,661.125
Дальневосточный федеральный округ,042,2024,935.839
Алтайский край,1,2024,50.8364
Амурская область,10,2024,11.2633
Архангельская область,11,2024,29.985802
Архангельская область (кроме Ненецкого автономного округа),11001,2024,25.9708
Ненецкий автономный округ (Архангельская область),111,2024,4.015
Астраханская область,12,2024,14.4567
Белгородская область,14,2024,489.0473
Брянская область,15,2024,6.1675
Владимирская область,17,2024,420.9418
Волгоградская область,18,2024,25.424301
Вологодская область,19,2024,295.5286
Воронежская область,20,2024,48.1965
Нижегородская область,22,2024,527.73016
Ивановская область,24,2024,5.2102003
Иркутская область,25,2024,43.6979
Республика Ингушетия,26,2024,
Калининградская область,27,2024,367.7218
Тверская область,28,2024,115.8679
Калужская область,29,2024,36.854397
Краснодарский край,3,2024,426.0622
Камчатский край,30,2024,3.4693
Кемеровская область - Кузбасс,32,2024,56.1123
Кировская область,33,2024,7.9777
Костромская область,34,2024,266.82642
Самарская область,36,2024,1527.4745
Курганская область,37,2024,50.62
Курская область,38,2024,12.591599
Красноярский край,4,2024,104.9799
Город Санкт-Петербург город федерального значения,40,2024,8163.9224
Ленинградская область,41,2024,157.7532
Липецкая область,42,2024,275.3974
Магаданская область,44,2024,3.1866999
Город Москва столица Российской Федерации город федерального значения,45,2024,69856.08
Московская область,46,2024,2813.6167
Мурманская область,47,2024,21.3554
Новгородская область,49,2024,1.748
Приморский край,5,2024,167.8305
Новосибирская область,50,2024,297.00308
Омская область,52,2024,5.0179
Оренбургская область,53,2024,103.6416
Орловская область,54,2024,72.935295
Пензенская область,56,2024,20.8363
Пермский край,57,2024,113.5756
Псковская область,58,2024,5.4498997
Ростовская область,60,2024,24.1784
Рязанская область,61,2024,41.138397
Саратовская область,63,2024,176.53479
Сахалинская область,64,2024,166.0164
Российская Федерация,643,2024,90304.68
Свердловская область,65,2024,48.4435
Смоленская область,66,2024,10.9723
Тамбовская область,68,2024,54.9995
Томская область,69,2024,89.4831
Ставропольский край,7,2024,59.7523
Тульская область,70,2024,43.7945
Тюменская область,71,2024,1003.42664
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001,2024,796.61365
Ханты-Мансийский автономный округ - Югра (Тюменская область),711,2024,175.2468
Ямало-Ненецкий автономный округ (Тюменская область),7114,2024,31.566198
Ульяновская область,73,2024,142.6453
Челябинская область,75,2024,226.81009
Забайкальский край,76,2024,278.3864
Чукотский автономный округ,77,2024,2.1933
Ярославская область,78,2024,38.8537
Республика Адыгея (Адыгея),79,2024,4.5687003
Хабаровский край,8,2024,74.8747
Республика Башкортостан,80,2024,97.187706
Республика Бурятия,81,2024,113.3787
Республика Дагестан,82,2024,36.2734
Кабардино-Балкарская Республика,83,2024,
Республика Алтай,84,2024,7.7585
Республика Калмыкия,85,2024,1.8684
Республика Карелия,86,2024,6.4381
Республика Коми,87,2024,0.2279
Республика Марий Эл,88,2024,56.1715
Республика Мордовия,89,2024,23.8706
Республика Северная Осетия-Алания,90,2024,4.7458997
Карачаево-Черкесская Республика,91,2024,17.7984
Республика Татарстан (Татарстан),92,2024,175.112
Республика Тыва,93,2024,
Удмуртская Республика,94,2024,27.0503
Республика Хакасия,95,2024,
Чеченская Республика,96,2024,22.983301
Чувашская Республика - Чувашия,97,2024,20.0805
Республика Саха (Якутия),98,2024,105.9057
Еврейская автономная область,99,2024,9.334
Российская Федерация,643,2025,176115.921875
Центральный федеральный округ,030,2025,166423.75
Белгородская область,14,2025,193.4674072265625
Брянская область,15,2025,20.374401092529297
Владимирская область,17,2025,349.29241943359375
Воронежская область,20,2025,110.74210357666016
Ивановская область,24,2025,4.711999893188477
Калужская область,29,2025,4.122299671173096
Костромская область,34,2025,1405.4339599609375
Курская область,38,2025,18.633399963378906
Липецкая область,42,2025,317.4441833496094
Московская область,46,2025,1929.44189453125
Орловская область,54,2025,81.20010375976562
